idx,baseline_x,baseline_y,rl_x,rl_y,baseline_label,rl_label
0,0.02,0.028790283203125003,0.02,0.032244873046875004,baseline:los_blocked_ema,rl:csv:los_blocked_ema
1,4.0200000000000005,0.648689341381261,4.0200000000000005,0.6615855389364537,baseline:los_blocked_ema,rl:csv:los_blocked_ema
2,8.02,0.6518392684848459,8.02,0.6775486568487396,baseline:los_blocked_ema,rl:csv:los_blocked_ema
3,12.02,0.6530791431194105,12.02,0.6819674847851174,baseline:los_blocked_ema,rl:csv:los_blocked_ema
4,16.02,0.6546626028856818,16.02,0.6801720747719145,baseline:los_blocked_ema,rl:csv:los_blocked_ema
5,20.02,0.65768628017937,20.02,0.6845435846111294,baseline:los_blocked_ema,rl:csv:los_blocked_ema
6,24.02,0.6567184802206039,24.02,0.6823569909737327,baseline:los_blocked_ema,rl:csv:los_blocked_ema
7,28.02,0.6581885675384608,28.02,0.686747144770015,baseline:los_blocked_ema,rl:csv:los_blocked_ema
8,32.02,0.658681148637747,32.02,0.687323952645093,baseline:los_blocked_ema,rl:csv:los_blocked_ema
9,36.02,0.6583890094129351,36.02,0.6886387388245958,baseline:los_blocked_ema,rl:csv:los_blocked_ema
10,40.02,0.661771697509525,40.02,0.6873744928146707,baseline:los_blocked_ema,rl:csv:los_blocked_ema
11,44.02,0.6623766858347409,44.02,0.6884158230973616,baseline:los_blocked_ema,rl:csv:los_blocked_ema
12,48.02,0.6631287448306186,48.02,0.6947377232789886,baseline:los_blocked_ema,rl:csv:los_blocked_ema
13,52.02,0.6650265605850582,52.02,0.6901914101199423,baseline:los_blocked_ema,rl:csv:los_blocked_ema
14,56.02,0.6687432820333932,56.02,0.6873660559487412,baseline:los_blocked_ema,rl:csv:los_blocked_ema
15,60.02,0.6635575619716292,60.02,0.6880335256168096,baseline:los_blocked_ema,rl:csv:los_blocked_ema
16,64.02,0.6620810656948346,64.02,0.6786537702031044,baseline:los_blocked_ema,rl:csv:los_blocked_ema
17,68.02,0.6573757506152189,68.02,0.6817097328689701,baseline:los_blocked_ema,rl:csv:los_blocked_ema
18,72.02,0.656205133855299,72.02,0.6839642211986083,baseline:los_blocked_ema,rl:csv:los_blocked_ema
19,76.02,0.6561066915679499,76.02,0.6817085816464608,baseline:los_blocked_ema,rl:csv:los_blocked_ema
20,80.02,0.6561950035853049,80.02,0.6823039425149828,baseline:los_blocked_ema,rl:csv:los_blocked_ema
21,84.02,0.654508358332059,84.02,0.680184361642065,baseline:los_blocked_ema,rl:csv:los_blocked_ema
22,88.02,0.6563398618264498,88.02,0.681914854368103,baseline:los_blocked_ema,rl:csv:los_blocked_ema
23,92.02,0.6542661321368167,92.02,0.6848494220371631,baseline:los_blocked_ema,rl:csv:los_blocked_ema
24,96.02,0.6531216128462725,96.02,0.683587214130901,baseline:los_blocked_ema,rl:csv:los_blocked_ema
25,100.02,0.659498068130263,100.02,0.6820310703090287,baseline:los_blocked_ema,rl:csv:los_blocked_ema
26,104.02,0.6590063730245294,104.02,0.6835550071836901,baseline:los_blocked_ema,rl:csv:los_blocked_ema
27,108.02,0.6597794664729062,108.02,0.6819939242247469,baseline:los_blocked_ema,rl:csv:los_blocked_ema
28,112.02,0.6559843011519929,112.02,0.6859503981802617,baseline:los_blocked_ema,rl:csv:los_blocked_ema
29,116.02,0.6573992196191241,116.02,0.6868091787630607,baseline:los_blocked_ema,rl:csv:los_blocked_ema
30,120.02,0.6578477675074931,120.02,0.6853130883042914,baseline:los_blocked_ema,rl:csv:los_blocked_ema
31,124.02,0.6552154289896107,124.02,0.6779900698953655,baseline:los_blocked_ema,rl:csv:los_blocked_ema
32,128.02,0.6612288110110928,128.02,0.6750834664554969,baseline:los_blocked_ema,rl:csv:los_blocked_ema
33,132.02,0.6591216430298683,132.02,0.680569895453027,baseline:los_blocked_ema,rl:csv:los_blocked_ema
34,136.02,0.6542308577084118,136.02,0.6811384813201824,baseline:los_blocked_ema,rl:csv:los_blocked_ema
35,140.02,0.6580516359195028,140.02,0.6840158227753778,baseline:los_blocked_ema,rl:csv:los_blocked_ema
36,144.02,0.6572165645365768,144.02,0.6805782619923599,baseline:los_blocked_ema,rl:csv:los_blocked_ema
37,148.02,0.6526911744693016,148.02,0.6798550618164424,baseline:los_blocked_ema,rl:csv:los_blocked_ema
38,152.02,0.6529452922122659,152.02,0.6825327723381319,baseline:los_blocked_ema,rl:csv:los_blocked_ema
39,156.02,0.649233432874236,156.02,0.6858810092993868,baseline:los_blocked_ema,rl:csv:los_blocked_ema
40,160.02,0.6512416566379904,160.02,0.685617917419408,baseline:los_blocked_ema,rl:csv:los_blocked_ema
41,164.02,0.6547830724023617,164.02,0.6869858511285001,baseline:los_blocked_ema,rl:csv:los_blocked_ema
42,168.02,0.6608890620017304,168.02,0.6882560737894224,baseline:los_blocked_ema,rl:csv:los_blocked_ema
43,172.02,0.6603479452428965,172.02,0.6840378412238926,baseline:los_blocked_ema,rl:csv:los_blocked_ema
44,176.02,0.6571829551794075,176.02,0.6847583897292187,baseline:los_blocked_ema,rl:csv:los_blocked_ema
45,180.02,0.6555274667206602,180.02,0.6817966316920242,baseline:los_blocked_ema,rl:csv:los_blocked_ema
46,184.02,0.6564166203027467,184.02,0.6799414920639725,baseline:los_blocked_ema,rl:csv:los_blocked_ema
47,188.02,0.6601668459854904,188.02,0.6809296848707156,baseline:los_blocked_ema,rl:csv:los_blocked_ema
48,192.02,0.6550778726369348,192.02,0.6843051427212996,baseline:los_blocked_ema,rl:csv:los_blocked_ema
49,196.02,0.6538471592150727,196.02,0.6857640994829639,baseline:los_blocked_ema,rl:csv:los_blocked_ema
50,200.02,0.6611208468477958,200.02,0.6827622487889875,baseline:los_blocked_ema,rl:csv:los_blocked_ema
51,204.02,0.654239016933388,204.02,0.6847569531471352,baseline:los_blocked_ema,rl:csv:los_blocked_ema
52,208.02,0.6552125672606877,208.02,0.6818940059637405,baseline:los_blocked_ema,rl:csv:los_blocked_ema
53,212.02,0.6572074056437763,212.02,0.6830684616314229,baseline:los_blocked_ema,rl:csv:los_blocked_ema
54,216.02,0.6571740047423861,216.02,0.681184724819836,baseline:los_blocked_ema,rl:csv:los_blocked_ema
55,220.02,0.6596246056473383,220.02,0.6840569387722285,baseline:los_blocked_ema,rl:csv:los_blocked_ema
56,224.02,0.6585199544521878,224.02,0.684373699754636,baseline:los_blocked_ema,rl:csv:los_blocked_ema
57,228.02,0.6577740254531069,228.02,0.68345154316523,baseline:los_blocked_ema,rl:csv:los_blocked_ema
58,232.02,0.6577455463146211,232.02,0.6841708145700663,baseline:los_blocked_ema,rl:csv:los_blocked_ema
59,236.02,0.6575869647586072,236.02,0.6809290258151145,baseline:los_blocked_ema,rl:csv:los_blocked_ema
60,240.02,0.6567820385627933,240.02,0.6816097697253669,baseline:los_blocked_ema,rl:csv:los_blocked_ema
61,244.02,0.6583049121956944,244.02,0.6797352579954278,baseline:los_blocked_ema,rl:csv:los_blocked_ema
62,248.02,0.6606834510315304,248.02,0.6781442444598094,baseline:los_blocked_ema,rl:csv:los_blocked_ema
63,252.02,0.6605079669037061,252.02,0.6825341549533112,baseline:los_blocked_ema,rl:csv:los_blocked_ema
64,256.02,0.6571965074613081,256.02,0.6832178985475102,baseline:los_blocked_ema,rl:csv:los_blocked_ema
65,260.02,0.6576074450421774,260.02,0.6768389993617286,baseline:los_blocked_ema,rl:csv:los_blocked_ema
66,,,264.02,0.6772995850662238,baseline:los_blocked_ema,rl:csv:los_blocked_ema
67,,,268.02,0.6771683107573503,baseline:los_blocked_ema,rl:csv:los_blocked_ema
68,,,272.02,0.6806499684851688,baseline:los_blocked_ema,rl:csv:los_blocked_ema
69,,,276.02,0.6809006009018961,baseline:los_blocked_ema,rl:csv:los_blocked_ema
70,,,280.02,0.6772783071616099,baseline:los_blocked_ema,rl:csv:los_blocked_ema
